
SQL*Plus: Release 10.2.0.3.0 - Production on Tue Aug 5 11:48:36 2014

Copyright (c) 1982, 2006, Oracle.  All Rights Reserved.


Connected to:
Oracle8i Release 8.1.7.4.0 - Production
JServer Release 8.1.7.4.0 - Production

SQL> SQL> 
/120fd76d_OracleDatabaseMetaDa SYNONYM		  PUBLIC
/12141a65_ThreeByteRenderer    SYNONYM		  PUBLIC
/12174023_Error 	       SYNONYM		  PUBLIC
/121df355_SunGraphicsEnvironme SYNONYM		  PUBLIC
/1225525_PlainTextInputStream  SYNONYM		  PUBLIC
/122e4f58_AuroraSSLConnectionI SYNONYM		  PUBLIC
/122ff9fe_RepositoryOperations SYNONYM		  PUBLIC
/1236a7cd_SignatureFileBlock   SYNONYM		  PUBLIC
/1240f5cf_LessExpression       SYNONYM		  PUBLIC
/1242851a_DateFormatZoneData_f SYNONYM		  PUBLIC
/1249279f_SQLOperationImpl     SYNONYM		  PUBLIC
/12535231__SubtransactionAware SYNONYM		  PUBLIC
/12579bb9_ResolutionDriverReso SYNONYM		  PUBLIC
/1267d256_ComponentContext1    SYNONYM		  PUBLIC
/126d70_BasicPopupMenuUI       SYNONYM		  PUBLIC
/1275d26d_Init		       SYNONYM		  PUBLIC
/127b5c5a_StyledDocument       SYNONYM		  PUBLIC
/127c8f32_DoubleExpression     SYNONYM		  PUBLIC
/12821c5a_OracleBlobOutputStre SYNONYM		  PUBLIC
/12835288_HTMLParagraphElement SYNONYM		  PUBLIC
/1285e826_SessionScavenger     SYNONYM		  PUBLIC
/1286f569_XMLPICover	       SYNONYM		  PUBLIC
/128fe27c_NameAndTypeConstantD SYNONYM		  PUBLIC
/1291c7b7_NotResponding        SYNONYM		  PUBLIC
/12940625_MetalIconFactoryPale SYNONYM		  PUBLIC
/1296c748_BasicDirectoryModel  SYNONYM		  PUBLIC
/12a09c11__subTMImplBase       SYNONYM		  PUBLIC
/12b4920f_XMLAttrCover	       SYNONYM		  PUBLIC
/12b6b073_LocaleHelper	       SYNONYM		  PUBLIC
/12ba730e_IiopProtocolImpl     SYNONYM		  PUBLIC
/12c0351e_FillRectByteIndexed  SYNONYM		  PUBLIC
/12c3381c_ExecutableImpl       SYNONYM		  PUBLIC
/12c344f0_StructDefOperations  SYNONYM		  PUBLIC
/12c5cf3e_MetalScrollBarUIScro SYNONYM		  PUBLIC
/12d11970_PolicyTable5	       SYNONYM		  PUBLIC
/12d39aa3_MouseInputListener   SYNONYM		  PUBLIC
/12e3f18d_SecureRandom	       SYNONYM		  PUBLIC
/12f0a257_OpenJspTagPluginFall SYNONYM		  PUBLIC
/12f385b1_DefaultCellEditor3   SYNONYM		  PUBLIC
/130a4b73_LocalStrings_pt_BR   SYNONYM		  PUBLIC
/130f798d_MetalUtilsTableHeade SYNONYM		  PUBLIC
/1312acd2_AbstractButtonAccess SYNONYM		  PUBLIC
/13180f38_ThreadLocal	       SYNONYM		  PUBLIC
/1327266a_BasicTreeUITreeAddSe SYNONYM		  PUBLIC
/132b736f_Init		       SYNONYM		  PUBLIC
/1336fb89_SunGraphicsEnvironme SYNONYM		  PUBLIC
/13415aab_AttributeDef	       SYNONYM		  PUBLIC
/1343bb44_EventDispatchThreadE SYNONYM		  PUBLIC
/1352fb09_ConfirmRemovePolicyE SYNONYM		  PUBLIC
/1362d1c5_RemoteToCorbaToAttrs SYNONYM		  PUBLIC
/13701868_Handler	       SYNONYM		  PUBLIC
/1376859a_ContainedContainer   SYNONYM		  PUBLIC
/13827da0_KeyboardManagerCompo SYNONYM		  PUBLIC
/1393a6b2_CertificateX509Key   SYNONYM		  PUBLIC
/139415a4_LUTbgfillToIntRgb    SYNONYM		  PUBLIC
/13950738_LocaleElements_nl_NL SYNONYM		  PUBLIC
/13a52c_EnvironmentHelper      SYNONYM		  PUBLIC
/13aca909_ServerInterceptor    SYNONYM		  PUBLIC
/13afedfb_GiopConnectionFactor SYNONYM		  PUBLIC
/13b25de9_BasicButtonListenerP SYNONYM		  PUBLIC
/13b4be3a_ModifyPermissionExce SYNONYM		  PUBLIC
/13b65381_AccessibleState      SYNONYM		  PUBLIC
/13b8b174_EventServerIntercept SYNONYM		  PUBLIC
/13bd9468_SqlNameIter	       SYNONYM		  PUBLIC
/13cbf620_BasicTabbedPaneUIMou SYNONYM		  PUBLIC
/13cce2b8_UnregEp	       SYNONYM		  PUBLIC
/13dd6bb9_HandlerRegistryImpl  SYNONYM		  PUBLIC
/13e00235_LUTbgfillTo24BitBgr  SYNONYM		  PUBLIC
/13e3b7b2_RTFAttributesBoolean SYNONYM		  PUBLIC
/13f2b904_OuttypeFileWriter    SYNONYM		  PUBLIC
/140ee846_SemanticException    SYNONYM		  PUBLIC
/1412975_MetalInternalFrameTit SYNONYM		  PUBLIC
/1413fa33_DefaultMutableTreeNo SYNONYM		  PUBLIC
/14168bb3_RTFAttributesGeneric SYNONYM		  PUBLIC
/1419f0bf_DateFormatZoneData_h SYNONYM		  PUBLIC
/141f74ec_RTStatementJDBCCalla SYNONYM		  PUBLIC
/1423895f_DrawLineByteIndexed  SYNONYM		  PUBLIC
/1439cfc0_AuditorInstallerBean SYNONYM		  PUBLIC
/1445e0e1_DnsRequest	       SYNONYM		  PUBLIC
/144931e2_ASTDeclarator        SYNONYM		  PUBLIC
/1451e07b_schemasHelper        SYNONYM		  PUBLIC
/1463948c_ListDataEvent        SYNONYM		  PUBLIC
/14812e71_JMenuMenuChangeListe SYNONYM		  PUBLIC
/14847e87_BasicListUIPageDownA SYNONYM		  PUBLIC
/148d97d7_BasicScrollPaneUIScr SYNONYM		  PUBLIC
/14a54f10_OracleResultSetMetaD SYNONYM		  PUBLIC
/14aae033_SearchFilter	       SYNONYM		  PUBLIC
/14bd3167_DateFormatZoneData_i SYNONYM		  PUBLIC
/14c5b240_AddressList	       SYNONYM		  PUBLIC
/14c7031a_LocatorInterface     SYNONYM		  PUBLIC
/14c7cf65_MsgAppletViewer_ja   SYNONYM		  PUBLIC
/14cdcf0f_OcmpEntityDeployer   SYNONYM		  PUBLIC
/14ed79a2_OrbAppletOrbThread   SYNONYM		  PUBLIC
/14efe99e_ResponseStream       SYNONYM		  PUBLIC
/15093715_DocumentationGenerat SYNONYM		  PUBLIC
/150bc4f6_ObjectImpl	       SYNONYM		  PUBLIC
/150c9b99_OctetSequence        SYNONYM		  PUBLIC
/15104e89_ChainUntypedObjectWr SYNONYM		  PUBLIC
/151e3702_TypedExpressionParse SYNONYM		  PUBLIC
/15231004_OADHelper	       SYNONYM		  PUBLIC
/1541f4ca_HeuristicHazardHolde SYNONYM		  PUBLIC
/1546f8d6_TypePrimitive        SYNONYM		  PUBLIC
/154bd02_BasicTextAreaUI       SYNONYM		  PUBLIC
/154db94_OracleJDBCTM	       SYNONYM		  PUBLIC
/154fd7fb_ReturnStatement      SYNONYM		  PUBLIC
/155b5959_ParseException       SYNONYM		  PUBLIC
/156d455_EditableView	       SYNONYM		  PUBLIC
/156dbfe1_StructMetaData       SYNONYM		  PUBLIC
/15714cfb_ChainedExpression    SYNONYM		  PUBLIC
/15907e2f_OracleProvider       SYNONYM		  PUBLIC
/15997680_OraRTStatementOraBat SYNONYM		  PUBLIC
/15a125e6__st_OAD	       SYNONYM		  PUBLIC
/15ae573b_MessageGetterSimple  SYNONYM		  PUBLIC
/15b24f8f_ChangeListener       SYNONYM		  PUBLIC
/15c081e1_drawGlyphVectorARGB  SYNONYM		  PUBLIC
/15cf9107_LocaleHolder	       SYNONYM		  PUBLIC
/15d0bc0a_PseudoObject	       SYNONYM		  PUBLIC
/15da543f_MetalComboBoxUI1     SYNONYM		  PUBLIC
/15ef81cf_AQjmsInvalidSelector SYNONYM		  PUBLIC
/15f21ae9_Node		       SYNONYM		  PUBLIC
/160e19c7_ByteCodeOptimizerFie SYNONYM		  PUBLIC
/16254485_AttrDescriptionSeqHe SYNONYM		  PUBLIC
/1628733c_ActivationGroupEntry SYNONYM		  PUBLIC
/162f144e_JSClassNullClass     SYNONYM		  PUBLIC
/16331a2c_paintGray8_ONTO_Gray SYNONYM		  PUBLIC
/16402a67_IntegerExpression    SYNONYM		  PUBLIC
/1653b65_SerProfileToClassErro SYNONYM		  PUBLIC
/165a290c_ObjectId	       SYNONYM		  PUBLIC
/165c214c_paintARGB_WITH_BG_CL SYNONYM		  PUBLIC
/1667935d_BasicAttribute       SYNONYM		  PUBLIC
/166bae7a_JToolBarActionChange SYNONYM		  PUBLIC
/168324fd_DTDConstants	       SYNONYM		  PUBLIC
/169239c2_ProfileTypeDescripto SYNONYM		  PUBLIC
/16a68658_NewInstanceExpressio SYNONYM		  PUBLIC
/16ad1061_LocalStrings_ko      SYNONYM		  PUBLIC
/16b0b808_AuroraStatelessSessi SYNONYM		  PUBLIC
/16ce5ad0_OraBasicTypeCustomiz SYNONYM		  PUBLIC
/16d23054_StatusOKButtonListen SYNONYM		  PUBLIC
/16d910bb_NoSuchRealmException SYNONYM		  PUBLIC
/16e01cb8_SQLCheckerBuilder    SYNONYM		  PUBLIC
/16ee71f9_CreateService        SYNONYM		  PUBLIC
/16f5f2a4_MutableStruct        SYNONYM		  PUBLIC
/16fc78ef_JSClassMemberWrapper SYNONYM		  PUBLIC
/1702aa65_Handler	       SYNONYM		  PUBLIC
/171e0a39_Init		       SYNONYM		  PUBLIC
/17208522_CodeSetComponent     SYNONYM		  PUBLIC
/172e7fa2_BasicComboBoxRendere SYNONYM		  PUBLIC
/1737de70_SCRDrawLineRasterCon SYNONYM		  PUBLIC
/1740f582_MetalComboBoxButton1 SYNONYM		  PUBLIC
/1743d35_ArrayIndexOutOfBounds SYNONYM		  PUBLIC
/17457f66_HTMLTableElement     SYNONYM		  PUBLIC
/1758ac59_BasicOptionPaneUILis SYNONYM		  PUBLIC
/175fdede_TransportConstants   SYNONYM		  PUBLIC
/17620e33_DynaHashStats        SYNONYM		  PUBLIC
/176d7061_paintARGB_ONTO_Index SYNONYM		  PUBLIC
/1786c0bd_FormViewSubmitThread SYNONYM		  PUBLIC
/17908231_ContainmentFilter    SYNONYM		  PUBLIC
/17948797_ActivationLogUnregis SYNONYM		  PUBLIC
/1796c4ec_SessionSSLConnection SYNONYM		  PUBLIC
/17a243c7_MultiScrollBarUI     SYNONYM		  PUBLIC
/17acf6e1_TypedefDefOperations SYNONYM		  PUBLIC
/17b2838f_TPtrArrayOfCAGPointA SYNONYM		  PUBLIC
/17c3b554_DropJavaImpl	       SYNONYM		  PUBLIC
/17cb5376_ClientInterceptorImp SYNONYM		  PUBLIC
/17d93d45_BCRDrawChars24BITRGB SYNONYM		  PUBLIC
/17e7e15a_ASTSqljClassDeclarat SYNONYM		  PUBLIC
/180fac4e_PrintWriterAuditor   SYNONYM		  PUBLIC
/1821e63_DefaultMutableTreeNod SYNONYM		  PUBLIC
/1828cb33_DbmsCompilerInterfac SYNONYM		  PUBLIC
/18346627_idl2ir	       SYNONYM		  PUBLIC
/18442506_DateFormatZoneData_r SYNONYM		  PUBLIC
/18474569_ParamRegProfile      SYNONYM		  PUBLIC
/184966ea_OracleSSLServerSocke SYNONYM		  PUBLIC
/184e0c41_RasterLockingExcepti SYNONYM		  PUBLIC
/1852c971_BasicLookAndFeel10   SYNONYM		  PUBLIC
/1855e672_BasicDirectoryModelL SYNONYM		  PUBLIC
/188ced55_OraCustomizationOraC SYNONYM		  PUBLIC
/188faa6d_IntArgbToDibXrgb     SYNONYM		  PUBLIC
/18919e7a_Manager	       SYNONYM		  PUBLIC
/18aa93da_VersionHelper11RClas SYNONYM		  PUBLIC
/18aab723_CompilerInterfaceBas SYNONYM		  PUBLIC
/18b19381_AuroraEJBContext     SYNONYM		  PUBLIC
/18bb8e0d_CreationImplDefHelpe SYNONYM		  PUBLIC
/18c5909a_BasicScrollPaneUIScr SYNONYM		  PUBLIC
/18c9556c_RemoveEndPoint       SYNONYM		  PUBLIC
/18cd0bde_LocalStringManager   SYNONYM		  PUBLIC
/18d8b0a3_DescriptorType       SYNONYM		  PUBLIC
/18dc464_ShortIsoMorphicCopy   SYNONYM		  PUBLIC
/18df9f71_JMenuActionChangedLi SYNONYM		  PUBLIC
/18e2bf58_MemoizedFinderFactor SYNONYM		  PUBLIC
/18ebb8b_SuperExpression       SYNONYM		  PUBLIC
/18ebdfda_LocaleElements_de_DE SYNONYM		  PUBLIC
/18ed4cf3_FieldInspector       SYNONYM		  PUBLIC
/18ee9153_AtomicDirContext     SYNONYM		  PUBLIC
/18fa1cd1_BasicInternalFrameTi SYNONYM		  PUBLIC
/18fd4261_NaryExpression       SYNONYM		  PUBLIC
/1903bcdf_StyleConstantsFontCo SYNONYM		  PUBLIC
/1906bfde_java2iiop	       SYNONYM		  PUBLIC
/190c3761_DateFormatZoneData_d SYNONYM		  PUBLIC
/190fd792__tie_JISLoadJava     SYNONYM		  PUBLIC
/1913c518_InitialLdapContext   SYNONYM		  PUBLIC
/191ccbfb_ClassHandle	       SYNONYM		  PUBLIC
/1922fb9b_HyperlinkListener    SYNONYM		  PUBLIC
/192b37af_DirSearch	       SYNONYM		  PUBLIC
/19310f0d_DuplicateEntryHelper SYNONYM		  PUBLIC
/193b8c0_ASTCase	       SYNONYM		  PUBLIC
/1947107e_XMLErrorMsg	       SYNONYM		  PUBLIC
/194906ea_DefaultHighlighterDe SYNONYM		  PUBLIC
/194b423c_OpenJspTagUseForm    SYNONYM		  PUBLIC
/194f02c4_JJTIDLParserState    SYNONYM		  PUBLIC
/195c2f0a_CachedStatementProfi SYNONYM		  PUBLIC
/197798d1_ConcurrentModificati SYNONYM		  PUBLIC
/1982bd95_PermissionsEnumerato SYNONYM		  PUBLIC
/1985025_RTFAttributesAssertiv SYNONYM		  PUBLIC
/1986dd58_ObjectInputStreamWit SYNONYM		  PUBLIC
/199d07cd_InvalidKeyException  SYNONYM		  PUBLIC
/19b45857_InvalidNameHolder    SYNONYM		  PUBLIC
/19c0b889_NotEmptyHelper       SYNONYM		  PUBLIC
/19c0f19a_ToolWindowListener   SYNONYM		  PUBLIC
/19c58e69_MultiHomedBootstrap  SYNONYM		  PUBLIC
/19d2a7f1_LocaleElements_ca    SYNONYM		  PUBLIC
/19f86273_InvalidAttributeType SYNONYM		  PUBLIC
/1a168fe9_NameNotFoundExceptio SYNONYM		  PUBLIC
/1a186a0e_ReplyStatusType      SYNONYM		  PUBLIC
/1a225594_StyleSheetSheetAttri SYNONYM		  PUBLIC
/1a24a52e_ChainClientIntercept SYNONYM		  PUBLIC
/1a2ce747_ThreadSessionDispatc SYNONYM		  PUBLIC
/1a3b6ea8_InlineReturnStatemen SYNONYM		  PUBLIC
/1a47a6c9_MetalCheckBoxUI      SYNONYM		  PUBLIC
/1a595d61_MemoryContextMemoryC SYNONYM		  PUBLIC
/1a5f1434_JTextAreaAccessibleJ SYNONYM		  PUBLIC
/1a6683fb_OraIterTypeCustomize SYNONYM		  PUBLIC
/1a6d2dbc_NewArrayOperatorNode SYNONYM		  PUBLIC
/1a7c169c_XSLOtherElements     SYNONYM		  PUBLIC
/1a80a415_PublishServlet       SYNONYM		  PUBLIC
/1aa5906d__tie_PrimitiveDef    SYNONYM		  PUBLIC
/1aad1d62_ProfilePrinter       SYNONYM		  PUBLIC
/1ac58ca_BasicToolBarUIToolBar SYNONYM		  PUBLIC
/1adcad9a_OracleStatement      SYNONYM		  PUBLIC
/1ae0633f_DigMethods	       SYNONYM		  PUBLIC
/1ae46914_LocaleElements_es_NI SYNONYM		  PUBLIC
/1ae8bdd_RepositoryHelper      SYNONYM		  PUBLIC
/1aea855f_JComboBoxKeySelectio SYNONYM		  PUBLIC
/1af8ea24_X509CRLEntry	       SYNONYM		  PUBLIC
/1afd7fd9_ChainUntypedObjectWr SYNONYM		  PUBLIC
/1b07aace_XMLParserCover       SYNONYM		  PUBLIC
/1b109605_ProfilePrinterString SYNONYM		  PUBLIC
/1b127549_LdapCtxFactory       SYNONYM		  PUBLIC
/1b1edb6b_oracleJTAExceptionHo SYNONYM		  PUBLIC
/1b308d35_IntArgbToIntArgb     SYNONYM		  PUBLIC
/1b3d87a5_StyleSheet	       SYNONYM		  PUBLIC
/1b3e0ed9_ToolTipManagerPopup  SYNONYM		  PUBLIC
/1b456071_ProfileData	       SYNONYM		  PUBLIC
/1b4636dc_RTStatementWrapper   SYNONYM		  PUBLIC
/1b485f10_OracleConversionInpu SYNONYM		  PUBLIC
/1b489a7c_LocaleElements_ar_DZ SYNONYM		  PUBLIC
/1b48ea56_SCRDrawChars555Raste SYNONYM		  PUBLIC
/1b57ccce_NoUnambiguousMethodE SYNONYM		  PUBLIC
/1b5aa338_ColorChooserDialog2  SYNONYM		  PUBLIC
/1b5ec1fd_CatchData	       SYNONYM		  PUBLIC
/1b76d4f0_AnnotationHelper     SYNONYM		  PUBLIC
/1b775a7c_DefaultComboBoxModel SYNONYM		  PUBLIC
/1b887088_CaffeineInputStream  SYNONYM		  PUBLIC
/1b94f300_LdapSchemaParser     SYNONYM		  PUBLIC
/1b97c4c7_InvalidKeyException  SYNONYM		  PUBLIC
/1ba026a4_HTMLQuoteElement     SYNONYM		  PUBLIC
/1babe485_NameComponentHelper  SYNONYM		  PUBLIC
/1baeea9d_OraCustomizationErro SYNONYM		  PUBLIC
/1bb0ad97_StatementCacheCustom SYNONYM		  PUBLIC
/1bb20d18_ArgbToShortGray      SYNONYM		  PUBLIC
/1bbc9baa_AttributeList        SYNONYM		  PUBLIC
/1bc725b7_AuroraEntityBean     SYNONYM		  PUBLIC
/1bcd22d6_AppletMessageHandler SYNONYM		  PUBLIC
/1bd452df_ToolsException       SYNONYM		  PUBLIC
/1bd9f0d0_LocalStrings_pt_BR   SYNONYM		  PUBLIC
/1be65b17_SqlObjectType_SJProf SYNONYM		  PUBLIC
/1be6cdec_RoundRectangle2DDoub SYNONYM		  PUBLIC
/1bf16ee7_MemStatIntGetter     SYNONYM		  PUBLIC
/1bf54141_CharacterConverterSJ SYNONYM		  PUBLIC
/1bfe44c6_PropertyList	       SYNONYM		  PUBLIC
/1bff7e5b_TokenMgrError        SYNONYM		  PUBLIC
/1c12cda1_OracleXAConnection   SYNONYM		  PUBLIC
/1c17b55b_PrimitiveDefHelper   SYNONYM		  PUBLIC
/1c2a5454_DigestAuthentication SYNONYM		  PUBLIC
/1c2d3b61_FSNameParser	       SYNONYM		  PUBLIC
/1c31ee09_RdbmsSessionRealm    SYNONYM		  PUBLIC
/1c5a38e_BasicTreeUITreePageAc SYNONYM		  PUBLIC
/1c5ee95f_HTMLBodyElement      SYNONYM		  PUBLIC
/1c73c2cf_SSBeanBuilder        SYNONYM		  PUBLIC
/1c92c6ab_LocalStrings_it      SYNONYM		  PUBLIC
/1c93034d_IntArgbBmToIntArgbBm SYNONYM		  PUBLIC
/1c9b3ad6_BasicDesktopIconUIMo SYNONYM		  PUBLIC
/1cb973e0_DefaultEditorKitBegi SYNONYM		  PUBLIC
/1cbbd778_ReauthHolder	       SYNONYM		  PUBLIC
/1cc1258b_DropTargetDropTarget SYNONYM		  PUBLIC
/1cc22a0e_BasicTableUIKeyHandl SYNONYM		  PUBLIC
/1cc48e02_SocketConnectionFact SYNONYM		  PUBLIC
/1cc6c2a6_LoginServerImpl      SYNONYM		  PUBLIC
/1cdb11c5_InitialContextFactor SYNONYM		  PUBLIC
/1cde7aaf_StreamRemoteCall     SYNONYM		  PUBLIC
/1cdfc9ee_SubtransactionAwareR SYNONYM		  PUBLIC
/1cef5ab6_ProducerConsumerCons SYNONYM		  PUBLIC
/1cef5dbd_Oracle8TypePropertie SYNONYM		  PUBLIC
/1cefad86_DSAMessage	       SYNONYM		  PUBLIC
/1cf673_JspDirectiveAttribute  SYNONYM		  PUBLIC
/1cfd5298_BCRDrawLineRasterCon SYNONYM		  PUBLIC
/1d00913b_ButtonPeer	       SYNONYM		  PUBLIC
/1d014193_ActivationActivatorI SYNONYM		  PUBLIC
/1d02b734_RTFReaderInfoDestina SYNONYM		  PUBLIC
/1d1d1082_RowCacheSchemaInCach SYNONYM		  PUBLIC
/1d1e0a9c_CertificateFactory1  SYNONYM		  PUBLIC
/1d232d1_ObjectStreamClassComp SYNONYM		  PUBLIC
/1d24719c_DocumentListener     SYNONYM		  PUBLIC
/1d28920f_BasicListUIPageUpAct SYNONYM		  PUBLIC
/1d3deae6_LocalStrings_es_ES   SYNONYM		  PUBLIC
/1d493451_X509EncodedKeySpec   SYNONYM		  PUBLIC
/1d4ace32__st_Control	       SYNONYM		  PUBLIC
/1d58564d_CredentialUsernamePa SYNONYM		  PUBLIC
/1d5d5267_string_bufHelper     SYNONYM		  PUBLIC
/1d5d5c75_UCode_UCodeESC_CharS SYNONYM		  PUBLIC
/1d5f4919_FromFollowing        SYNONYM		  PUBLIC
/1d6c8fa3_ChainUntypedObjectWr SYNONYM		  PUBLIC
/1d6e9256_FromChildren	       SYNONYM		  PUBLIC
/1d7a69e7_ExceptionMapper2     SYNONYM		  PUBLIC
/1d7c09e4_LessOrEqualExpressio SYNONYM		  PUBLIC
/1d7daae4__st_JISLoadJava      SYNONYM		  PUBLIC
/1d85d14f_NotOwnerException    SYNONYM		  PUBLIC
/1d9844e6_BindingIteratorImpl  SYNONYM		  PUBLIC
/1da1d63b_IntypeParserTokenMan SYNONYM		  PUBLIC
/1da4a677_RowCacheRowInCache   SYNONYM		  PUBLIC
/1dbee78c_MetalCheckBoxIcon    SYNONYM		  PUBLIC
/1dbf45b0_MessageNotReadableEx SYNONYM		  PUBLIC
/1dd7d155_OraClosureFactory14  SYNONYM		  PUBLIC
/1ddd023_SSLServerSocketTest   SYNONYM		  PUBLIC
/1de2abbb_JPubMessagesText_ko  SYNONYM		  PUBLIC
/1de654fd__ServerImplBase      SYNONYM		  PUBLIC
/1de7f7e4_DuplicateEntry       SYNONYM		  PUBLIC
/1deb1317_InvalidNameException SYNONYM		  PUBLIC
/1dfc489b_paintArgbPreBkMaskOn SYNONYM		  PUBLIC
/1e089bc3_ShellAgentImpl       SYNONYM		  PUBLIC
/1e0b19b5_DrawPolygonsXBGR     SYNONYM		  PUBLIC
/1e134966_JspSessionManager    SYNONYM		  PUBLIC
/1e181473_BasicComboPopupListM SYNONYM		  PUBLIC
/1e193b75_FixedLengthInputStre SYNONYM		  PUBLIC
/1e1edbae_AQjmsEventListenerPo SYNONYM		  PUBLIC
/1e26c1b1_StatementCacheProfil SYNONYM		  PUBLIC
/1e314b66_XMLDTDCover	       SYNONYM		  PUBLIC
/1e3d78fb_PositionedProfile1   SYNONYM		  PUBLIC
/1e4230fd_BasicMenuBarUITakeFo SYNONYM		  PUBLIC
/1e453268_BasicScrollPaneUIScr SYNONYM		  PUBLIC
/1e58bf78_DebuggerImpl	       SYNONYM		  PUBLIC
/1e631bd5_ChainProperties      SYNONYM		  PUBLIC
/1e65354d_FullInterfaceDescrip SYNONYM		  PUBLIC
/1e6e795d_ClassNameResolverWra SYNONYM		  PUBLIC
/1e75dbf1_Oracle7TypePropertie SYNONYM		  PUBLIC
/1e7c58e0_ShapeToPolyConverter SYNONYM		  PUBLIC
/1e7cb5c8_EnumDefOperations    SYNONYM		  PUBLIC
/1e88cf4c_OpenJspTagGetPropert SYNONYM		  PUBLIC
/1e9027a2_LocaleElements_cs    SYNONYM		  PUBLIC
/1eb5750_BasicComboBoxUIProper SYNONYM		  PUBLIC
/1ebf014b_MarshalInputStream   SYNONYM		  PUBLIC
/1ec9fc2e_JOptionPaneAccessibl SYNONYM		  PUBLIC
/1ed37a8_ContextEnvironment    SYNONYM		  PUBLIC
/1ee71fbf_ValidatingParser     SYNONYM		  PUBLIC
/1eebbdda_JViewportViewListene SYNONYM		  PUBLIC
/1eee0ec2_HttpAwareServerSocke SYNONYM		  PUBLIC
/1efebde7_OraTypeCustomizerFac SYNONYM		  PUBLIC
/1f032_ProducerConsumerProduce SYNONYM		  PUBLIC
/1f0a299_NotAvailable	       SYNONYM		  PUBLIC
/1f0a3619_XMLNotationCover     SYNONYM		  PUBLIC
/1f0a7739_SessionIdentifier    SYNONYM		  PUBLIC
/1f197fc2_ParserValue	       SYNONYM		  PUBLIC
/1f2c0882_BasicCookieBoxClose  SYNONYM		  PUBLIC
/1f2c8f34_ComponentAdapter     SYNONYM		  PUBLIC
/1f2d9042_DGCClientEndpointEnt SYNONYM		  PUBLIC
/1f4ed91__EstructDefImplBase   SYNONYM		  PUBLIC
/1f527929_BasicMenuBarUIContai SYNONYM		  PUBLIC
