
SQL*Plus: Release 11.2.0.3.0 Production on Wed Jun 12 15:39:13 2013

Copyright (c) 1982, 2011, Oracle.  All rights reserved.


Connected to:
Oracle Database 11g Enterprise Edition Release 11.2.0.3.0 - 64bit Production

SQL> SQL> 
ALL_APPLY_INSTANTIATED_GLOBAL  SYNONYM		   PUBLIC
ALL_APPLY_INSTANTIATED_OBJECTS SYNONYM		   PUBLIC
ALL_APPLY_INSTANTIATED_SCHEMAS SYNONYM		   PUBLIC
ALL_APPLY_KEY_COLUMNS	       VIEW		   SYS
ALL_APPLY_KEY_COLUMNS	       SYNONYM		   PUBLIC
ALL_APPLY_PARAMETERS	       SYNONYM		   PUBLIC
ALL_APPLY_PARAMETERS	       VIEW		   SYS
ALL_APPLY_PROGRESS	       VIEW		   SYS
ALL_APPLY_PROGRESS	       SYNONYM		   PUBLIC
ALL_APPLY_REPERROR_HANDLERS    SYNONYM		   PUBLIC
ALL_APPLY_REPERROR_HANDLERS    VIEW		   SYS
ALL_APPLY_SPILL_TXN	       SYNONYM		   PUBLIC
ALL_APPLY_TABLE_COLUMNS        VIEW		   SYS
ALL_APPLY_TABLE_COLUMNS        SYNONYM		   PUBLIC
ALL_ARGUMENTS		       VIEW		   SYS
ALL_ARGUMENTS		       SYNONYM		   PUBLIC
ALL_ASSEMBLIES		       SYNONYM		   PUBLIC
ALL_ASSEMBLIES		       VIEW		   SYS
ALL_ASSOCIATIONS	       VIEW		   SYS
ALL_ASSOCIATIONS	       SYNONYM		   PUBLIC
ALL_ATTRIBUTE_TRANSFORMATIONS  VIEW		   SYS
ALL_AUDIT_POLICIES	       SYNONYM		   PUBLIC
ALL_AUDIT_POLICY_COLUMNS       SYNONYM		   PUBLIC
ALL_AWS 		       SYNONYM		   PUBLIC
ALL_AWS 		       VIEW		   SYS
ALL_AW_PS		       VIEW		   SYS
ALL_AW_PS		       SYNONYM		   PUBLIC
ALL_BASE_TABLE_MVIEWS	       VIEW		   SYS
ALL_BASE_TABLE_MVIEWS	       SYNONYM		   PUBLIC
ALL_CAPTURE		       VIEW		   SYS
ALL_CAPTURE		       SYNONYM		   PUBLIC
ALL_CAPTURE_EXTRA_ATTRIBUTES   VIEW		   SYS
ALL_CAPTURE_EXTRA_ATTRIBUTES   SYNONYM		   PUBLIC
ALL_CAPTURE_PARAMETERS	       SYNONYM		   PUBLIC
ALL_CAPTURE_PARAMETERS	       VIEW		   SYS
ALL_CAPTURE_PREPARED_DATABASE  VIEW		   SYS
ALL_CAPTURE_PREPARED_DATABASE  SYNONYM		   PUBLIC
ALL_CAPTURE_PREPARED_SCHEMAS   VIEW		   SYS
ALL_CAPTURE_PREPARED_SCHEMAS   SYNONYM		   PUBLIC
ALL_CAPTURE_PREPARED_TABLES    VIEW		   SYS
ALL_CAPTURE_PREPARED_TABLES    SYNONYM		   PUBLIC
ALL_CATALOG		       VIEW		   SYS
ALL_CATALOG		       SYNONYM		   PUBLIC
ALL_CHANGE_PROPAGATIONS        SYNONYM		   PUBLIC
ALL_CHANGE_PROPAGATION_SETS    SYNONYM		   PUBLIC
ALL_CHANGE_SETS 	       SYNONYM		   PUBLIC
ALL_CHANGE_SOURCES	       SYNONYM		   PUBLIC
ALL_CHANGE_TABLES	       SYNONYM		   PUBLIC
ALL_CLUSTERS		       SYNONYM		   PUBLIC
ALL_CLUSTERS		       VIEW		   SYS
ALL_CLUSTER_HASH_EXPRESSIONS   SYNONYM		   PUBLIC
ALL_CLUSTER_HASH_EXPRESSIONS   VIEW		   SYS
ALL_COLL_TYPES		       SYNONYM		   PUBLIC
ALL_COLL_TYPES		       VIEW		   SYS
ALL_COL_COMMENTS	       VIEW		   SYS
ALL_COL_COMMENTS	       SYNONYM		   PUBLIC
ALL_COL_PENDING_STATS	       VIEW		   SYS
ALL_COL_PENDING_STATS	       SYNONYM		   PUBLIC
ALL_COL_PRIVS		       SYNONYM		   PUBLIC
ALL_COL_PRIVS		       VIEW		   SYS
ALL_COL_PRIVS_MADE	       SYNONYM		   PUBLIC
ALL_COL_PRIVS_MADE	       VIEW		   SYS
ALL_COL_PRIVS_RECD	       SYNONYM		   PUBLIC
ALL_COL_PRIVS_RECD	       VIEW		   SYS
ALL_COMPARISON_SCAN_SUMMARY    SYNONYM		   PUBLIC
ALL_CONSTRAINTS 	       SYNONYM		   PUBLIC
ALL_CONSTRAINTS 	       VIEW		   SYS
ALL_CONS_COLUMNS	       VIEW		   SYS
ALL_CONS_COLUMNS	       SYNONYM		   PUBLIC
ALL_CONS_OBJ_COLUMNS	       SYNONYM		   PUBLIC
ALL_CONS_OBJ_COLUMNS	       VIEW		   SYS
ALL_CONTEXT		       SYNONYM		   PUBLIC
ALL_CONTEXT		       VIEW		   SYS
ALL_CUBES		       SYNONYM		   PUBLIC
ALL_CUBES		       VIEW		   SYS
ALL_CUBE_ATTRIBUTES	       VIEW		   SYS
ALL_CUBE_ATTRIBUTES	       SYNONYM		   PUBLIC
ALL_CUBE_ATTR_VISIBILITY       SYNONYM		   PUBLIC
ALL_CUBE_ATTR_VISIBILITY       VIEW		   SYS
ALL_CUBE_BUILD_PROCESSES       VIEW		   SYS
ALL_CUBE_BUILD_PROCESSES       SYNONYM		   PUBLIC
ALL_CUBE_CALCULATED_MEMBERS    SYNONYM		   PUBLIC
ALL_CUBE_CALCULATED_MEMBERS    VIEW		   SYS
ALL_CUBE_DIMENSIONALITY        VIEW		   SYS
ALL_CUBE_DIMENSIONALITY        SYNONYM		   PUBLIC
ALL_CUBE_DIMENSIONS	       SYNONYM		   PUBLIC
ALL_CUBE_DIMENSIONS	       VIEW		   SYS
ALL_CUBE_DIM_LEVELS	       VIEW		   SYS
ALL_CUBE_DIM_LEVELS	       SYNONYM		   PUBLIC
ALL_CUBE_DIM_MODELS	       VIEW		   SYS
ALL_CUBE_DIM_MODELS	       SYNONYM		   PUBLIC
ALL_CUBE_DIM_VIEWS	       SYNONYM		   PUBLIC
ALL_CUBE_DIM_VIEWS	       VIEW		   SYS
ALL_CUBE_DIM_VIEW_COLUMNS      VIEW		   SYS
ALL_CUBE_DIM_VIEW_COLUMNS      SYNONYM		   PUBLIC
ALL_CUBE_HIERARCHIES	       VIEW		   SYS
ALL_CUBE_HIERARCHIES	       SYNONYM		   PUBLIC
ALL_CUBE_HIER_LEVELS	       VIEW		   SYS
ALL_CUBE_HIER_LEVELS	       SYNONYM		   PUBLIC
ALL_CUBE_HIER_VIEWS	       SYNONYM		   PUBLIC
ALL_CUBE_HIER_VIEWS	       VIEW		   SYS
ALL_CUBE_HIER_VIEW_COLUMNS     SYNONYM		   PUBLIC
ALL_CUBE_HIER_VIEW_COLUMNS     VIEW		   SYS
ALL_CUBE_MEASURES	       SYNONYM		   PUBLIC
ALL_CUBE_MEASURES	       VIEW		   SYS
ALL_CUBE_VIEWS		       SYNONYM		   PUBLIC
ALL_CUBE_VIEWS		       VIEW		   SYS
ALL_CUBE_VIEW_COLUMNS	       VIEW		   SYS
ALL_CUBE_VIEW_COLUMNS	       SYNONYM		   PUBLIC
ALL_DB_LINKS		       SYNONYM		   PUBLIC
ALL_DB_LINKS		       VIEW		   SYS
ALL_DEF_AUDIT_OPTS	       SYNONYM		   PUBLIC
ALL_DEF_AUDIT_OPTS	       VIEW		   SYS
ALL_DEPENDENCIES	       SYNONYM		   PUBLIC
ALL_DEPENDENCIES	       VIEW		   SYS
ALL_DEQUEUE_QUEUES	       VIEW		   SYS
ALL_DEQUEUE_QUEUES	       SYNONYM		   PUBLIC
ALL_DIMENSIONS		       SYNONYM		   PUBLIC
ALL_DIMENSIONS		       VIEW		   SYS
ALL_DIM_ATTRIBUTES	       VIEW		   SYS
ALL_DIM_ATTRIBUTES	       SYNONYM		   PUBLIC
ALL_DIM_CHILD_OF	       SYNONYM		   PUBLIC
ALL_DIM_CHILD_OF	       VIEW		   SYS
ALL_DIM_HIERARCHIES	       VIEW		   SYS
ALL_DIM_HIERARCHIES	       SYNONYM		   PUBLIC
ALL_DIM_JOIN_KEY	       SYNONYM		   PUBLIC
ALL_DIM_JOIN_KEY	       VIEW		   SYS
ALL_DIM_LEVELS		       VIEW		   SYS
ALL_DIM_LEVELS		       SYNONYM		   PUBLIC
ALL_DIM_LEVEL_KEY	       VIEW		   SYS
ALL_DIM_LEVEL_KEY	       SYNONYM		   PUBLIC
ALL_DIRECTORIES 	       VIEW		   SYS
ALL_DIRECTORIES 	       SYNONYM		   PUBLIC
ALL_EDITIONING_VIEWS	       SYNONYM		   PUBLIC
ALL_EDITIONING_VIEWS	       VIEW		   SYS
ALL_EDITIONING_VIEWS_AE        VIEW		   SYS
ALL_EDITIONING_VIEWS_AE        SYNONYM		   PUBLIC
ALL_EDITIONING_VIEW_COLS       VIEW		   SYS
ALL_EDITIONING_VIEW_COLS       SYNONYM		   PUBLIC
ALL_EDITIONING_VIEW_COLS_AE    VIEW		   SYS
ALL_EDITIONING_VIEW_COLS_AE    SYNONYM		   PUBLIC
ALL_EDITIONS		       SYNONYM		   PUBLIC
ALL_EDITIONS		       VIEW		   SYS
ALL_EDITION_COMMENTS	       VIEW		   SYS
ALL_EDITION_COMMENTS	       SYNONYM		   PUBLIC
ALL_ENCRYPTED_COLUMNS	       VIEW		   SYS
ALL_ENCRYPTED_COLUMNS	       SYNONYM		   PUBLIC
ALL_ERRORS		       SYNONYM		   PUBLIC
ALL_ERRORS		       VIEW		   SYS
ALL_ERRORS_AE		       SYNONYM		   PUBLIC
ALL_ERRORS_AE		       VIEW		   SYS
ALL_EVALUATION_CONTEXTS        VIEW		   SYS
ALL_EVALUATION_CONTEXTS        SYNONYM		   PUBLIC
ALL_EVALUATION_CONTEXT_TABLES  SYNONYM		   PUBLIC
ALL_EVALUATION_CONTEXT_TABLES  VIEW		   SYS
ALL_EVALUATION_CONTEXT_VARS    SYNONYM		   PUBLIC
ALL_EVALUATION_CONTEXT_VARS    VIEW		   SYS
ALL_EXTERNAL_LOCATIONS	       VIEW		   SYS
ALL_EXTERNAL_LOCATIONS	       SYNONYM		   PUBLIC
ALL_EXTERNAL_TABLES	       SYNONYM		   PUBLIC
ALL_EXTERNAL_TABLES	       VIEW		   SYS
ALL_FILE_GROUPS 	       VIEW		   SYS
ALL_FILE_GROUPS 	       SYNONYM		   PUBLIC
ALL_FILE_GROUP_EXPORT_INFO     VIEW		   SYS
ALL_FILE_GROUP_EXPORT_INFO     SYNONYM		   PUBLIC
ALL_FILE_GROUP_FILES	       VIEW		   SYS
ALL_FILE_GROUP_FILES	       SYNONYM		   PUBLIC
ALL_FILE_GROUP_TABLES	       VIEW		   SYS
ALL_FILE_GROUP_TABLES	       SYNONYM		   PUBLIC
ALL_FILE_GROUP_TABLESPACES     VIEW		   SYS
ALL_FILE_GROUP_TABLESPACES     SYNONYM		   PUBLIC
ALL_FILE_GROUP_VERSIONS        VIEW		   SYS
ALL_FILE_GROUP_VERSIONS        SYNONYM		   PUBLIC
ALL_GOLDENGATE_PRIVILEGES      SYNONYM		   PUBLIC
ALL_HISTOGRAMS		       SYNONYM		   PUBLIC
ALL_IDENTIFIERS 	       VIEW		   SYS
ALL_IDENTIFIERS 	       SYNONYM		   PUBLIC
ALL_INDEXES		       SYNONYM		   PUBLIC
ALL_INDEXES		       VIEW		   SYS
ALL_INDEXTYPES		       SYNONYM		   PUBLIC
ALL_INDEXTYPES		       VIEW		   SYS
ALL_INDEXTYPE_ARRAYTYPES       VIEW		   SYS
ALL_INDEXTYPE_ARRAYTYPES       SYNONYM		   PUBLIC
ALL_INDEXTYPE_COMMENTS	       VIEW		   SYS
ALL_INDEXTYPE_COMMENTS	       SYNONYM		   PUBLIC
ALL_INDEXTYPE_OPERATORS        SYNONYM		   PUBLIC
ALL_INDEXTYPE_OPERATORS        VIEW		   SYS
ALL_IND_COLUMNS 	       VIEW		   SYS
ALL_IND_COLUMNS 	       SYNONYM		   PUBLIC
ALL_IND_EXPRESSIONS	       SYNONYM		   PUBLIC
ALL_IND_EXPRESSIONS	       VIEW		   SYS
ALL_IND_PARTITIONS	       VIEW		   SYS
ALL_IND_PARTITIONS	       SYNONYM		   PUBLIC
ALL_IND_PENDING_STATS	       SYNONYM		   PUBLIC
ALL_IND_PENDING_STATS	       VIEW		   SYS
ALL_IND_STATISTICS	       VIEW		   SYS
ALL_IND_STATISTICS	       SYNONYM		   PUBLIC
ALL_IND_SUBPARTITIONS	       VIEW		   SYS
ALL_IND_SUBPARTITIONS	       SYNONYM		   PUBLIC
ALL_INTERNAL_TRIGGERS	       SYNONYM		   PUBLIC
ALL_INTERNAL_TRIGGERS	       VIEW		   SYS
ALL_INT_DEQUEUE_QUEUES	       VIEW		   SYS
ALL_INT_DEQUEUE_QUEUES	       SYNONYM		   PUBLIC
ALL_JOBS		       SYNONYM		   PUBLIC
ALL_JOIN_IND_COLUMNS	       VIEW		   SYS
ALL_JOIN_IND_COLUMNS	       SYNONYM		   PUBLIC
ALL_LIBRARIES		       VIEW		   SYS
ALL_LIBRARIES		       SYNONYM		   PUBLIC
ALL_LOBS		       SYNONYM		   PUBLIC
ALL_LOBS		       VIEW		   SYS
ALL_LOB_PARTITIONS	       SYNONYM		   PUBLIC
ALL_LOB_PARTITIONS	       VIEW		   SYS
ALL_LOB_SUBPARTITIONS	       VIEW		   SYS
ALL_LOB_SUBPARTITIONS	       SYNONYM		   PUBLIC
ALL_LOB_TEMPLATES	       SYNONYM		   PUBLIC
ALL_LOB_TEMPLATES	       VIEW		   SYS
ALL_LOG_GROUPS		       SYNONYM		   PUBLIC
ALL_LOG_GROUPS		       VIEW		   SYS
ALL_LOG_GROUP_COLUMNS	       VIEW		   SYS
ALL_LOG_GROUP_COLUMNS	       SYNONYM		   PUBLIC
ALL_MEASURE_FOLDERS	       SYNONYM		   PUBLIC
ALL_MEASURE_FOLDERS	       VIEW		   SYS
ALL_MEASURE_FOLDER_CONTENTS    SYNONYM		   PUBLIC
ALL_MEASURE_FOLDER_CONTENTS    VIEW		   SYS
ALL_METHOD_PARAMS	       SYNONYM		   PUBLIC
ALL_METHOD_PARAMS	       VIEW		   SYS
ALL_METHOD_RESULTS	       SYNONYM		   PUBLIC
ALL_METHOD_RESULTS	       VIEW		   SYS
ALL_MINING_MODELS	       VIEW		   SYS
ALL_MINING_MODELS	       SYNONYM		   PUBLIC
ALL_MINING_MODEL_ATTRIBUTES    SYNONYM		   PUBLIC
ALL_MINING_MODEL_ATTRIBUTES    VIEW		   SYS
ALL_MINING_MODEL_SETTINGS      SYNONYM		   PUBLIC
ALL_MINING_MODEL_SETTINGS      VIEW		   SYS
ALL_MP_GRAPH_WORKSPACES        VIEW		   WMSYS
ALL_MP_GRAPH_WORKSPACES        SYNONYM		   PUBLIC
ALL_MP_PARENT_WORKSPACES       SYNONYM		   PUBLIC
ALL_MP_PARENT_WORKSPACES       VIEW		   WMSYS
ALL_MVIEWS		       VIEW		   SYS
ALL_MVIEWS		       SYNONYM		   PUBLIC
ALL_MVIEW_AGGREGATES	       SYNONYM		   PUBLIC
ALL_MVIEW_AGGREGATES	       VIEW		   SYS
ALL_MVIEW_ANALYSIS	       SYNONYM		   PUBLIC
ALL_MVIEW_ANALYSIS	       VIEW		   SYS
ALL_MVIEW_COMMENTS	       VIEW		   SYS
ALL_MVIEW_COMMENTS	       SYNONYM		   PUBLIC
ALL_MVIEW_DETAIL_PARTITION     SYNONYM		   PUBLIC
ALL_MVIEW_DETAIL_PARTITION     VIEW		   SYS
ALL_MVIEW_DETAIL_RELATIONS     SYNONYM		   PUBLIC
ALL_MVIEW_DETAIL_RELATIONS     VIEW		   SYS
ALL_MVIEW_DETAIL_SUBPARTITION  VIEW		   SYS
ALL_MVIEW_DETAIL_SUBPARTITION  SYNONYM		   PUBLIC
ALL_MVIEW_JOINS 	       SYNONYM		   PUBLIC
ALL_MVIEW_JOINS 	       VIEW		   SYS
ALL_MVIEW_KEYS		       SYNONYM		   PUBLIC
ALL_MVIEW_KEYS		       VIEW		   SYS
ALL_MVIEW_LOGS		       VIEW		   SYS
ALL_MVIEW_LOGS		       SYNONYM		   PUBLIC
ALL_MVIEW_REFRESH_TIMES        VIEW		   SYS
ALL_MVIEW_REFRESH_TIMES        SYNONYM		   PUBLIC
ALL_NESTED_TABLES	       VIEW		   SYS
ALL_NESTED_TABLES	       SYNONYM		   PUBLIC
ALL_NESTED_TABLE_COLS	       VIEW		   SYS
ALL_NESTED_TABLE_COLS	       SYNONYM		   PUBLIC
ALL_OBJECTS		       VIEW		   SYS
ALL_OBJECTS		       SYNONYM		   PUBLIC
ALL_OBJECTS_AE		       SYNONYM		   PUBLIC
ALL_OBJECTS_AE		       VIEW		   SYS
ALL_OBJECT_TABLES	       VIEW		   SYS
ALL_OBJECT_TABLES	       SYNONYM		   PUBLIC
ALL_OBJ_COLATTRS	       VIEW		   SYS
ALL_OBJ_COLATTRS	       SYNONYM		   PUBLIC
ALL_OPANCILLARY 	       VIEW		   SYS
ALL_OPANCILLARY 	       SYNONYM		   PUBLIC
ALL_OPARGUMENTS 	       VIEW		   SYS
ALL_OPARGUMENTS 	       SYNONYM		   PUBLIC
ALL_OPBINDINGS		       VIEW		   SYS
ALL_OPBINDINGS		       SYNONYM		   PUBLIC
ALL_OPERATORS		       SYNONYM		   PUBLIC
ALL_OPERATORS		       VIEW		   SYS
ALL_OPERATOR_COMMENTS	       SYNONYM		   PUBLIC
ALL_OPERATOR_COMMENTS	       VIEW		   SYS
ALL_OUTLINES		       SYNONYM		   PUBLIC
ALL_OUTLINE_HINTS	       SYNONYM		   PUBLIC
ALL_PARTIAL_DROP_TABS	       VIEW		   SYS
ALL_PARTIAL_DROP_TABS	       SYNONYM		   PUBLIC
ALL_PART_COL_STATISTICS        SYNONYM		   PUBLIC
ALL_PART_COL_STATISTICS        VIEW		   SYS
ALL_PART_HISTOGRAMS	       VIEW		   SYS
ALL_PART_HISTOGRAMS	       SYNONYM		   PUBLIC
ALL_PART_INDEXES	       VIEW		   SYS
ALL_PART_INDEXES	       SYNONYM		   PUBLIC
ALL_PART_KEY_COLUMNS	       SYNONYM		   PUBLIC
ALL_PART_KEY_COLUMNS	       VIEW		   SYS
ALL_PART_LOBS		       SYNONYM		   PUBLIC
ALL_PART_LOBS		       VIEW		   SYS
ALL_PART_TABLES 	       SYNONYM		   PUBLIC
ALL_PART_TABLES 	       VIEW		   SYS
ALL_PATH		       OPERATOR 	   XDB
ALL_PATH		       SYNONYM		   PUBLIC
ALL_PENDING_CONV_TABLES        VIEW		   SYS
ALL_PENDING_CONV_TABLES        SYNONYM		   PUBLIC
ALL_PLSQL_OBJECT_SETTINGS      VIEW		   SYS
ALL_PLSQL_OBJECT_SETTINGS      SYNONYM		   PUBLIC
ALL_POLICIES		       VIEW		   SYS
ALL_POLICIES		       SYNONYM		   PUBLIC
ALL_POLICY_CONTEXTS	       VIEW		   SYS
ALL_POLICY_CONTEXTS	       SYNONYM		   PUBLIC
ALL_POLICY_GROUPS	       SYNONYM		   PUBLIC
ALL_POLICY_GROUPS	       VIEW		   SYS
ALL_PROBE_OBJECTS	       VIEW		   SYS
ALL_PROCEDURES		       VIEW		   SYS
ALL_PROCEDURES		       SYNONYM		   PUBLIC
ALL_PROPAGATION 	       VIEW		   SYS
ALL_PROPAGATION 	       SYNONYM		   PUBLIC
ALL_PUBLISHED_COLUMNS	       SYNONYM		   PUBLIC
ALL_QUEUES		       SYNONYM		   PUBLIC
ALL_QUEUES		       VIEW		   SYS
ALL_QUEUE_PUBLISHERS	       VIEW		   SYS
ALL_QUEUE_PUBLISHERS	       SYNONYM		   PUBLIC
ALL_QUEUE_SCHEDULES	       VIEW		   SYS
ALL_QUEUE_SCHEDULES	       SYNONYM		   PUBLIC
ALL_QUEUE_SUBSCRIBERS	       SYNONYM		   PUBLIC
ALL_QUEUE_SUBSCRIBERS	       VIEW		   SYS
ALL_QUEUE_TABLES	       VIEW		   SYS
ALL_QUEUE_TABLES	       SYNONYM		   PUBLIC
ALL_REFRESH		       VIEW		   SYS
ALL_REFRESH		       SYNONYM		   PUBLIC
ALL_REFRESH_CHILDREN	       SYNONYM		   PUBLIC
ALL_REFRESH_CHILDREN	       VIEW		   SYS
ALL_REFRESH_DEPENDENCIES       SYNONYM		   PUBLIC
ALL_REFRESH_DEPENDENCIES       VIEW		   SYS
ALL_REFS		       SYNONYM		   PUBLIC
ALL_REFS		       VIEW		   SYS
ALL_REGISTERED_MVIEWS	       SYNONYM		   PUBLIC
ALL_REGISTERED_MVIEWS	       VIEW		   SYS
ALL_REGISTERED_SNAPSHOTS       SYNONYM		   PUBLIC
ALL_REGISTERED_SNAPSHOTS       VIEW		   SYS
ALL_REGISTRY_BANNERS	       SYNONYM		   PUBLIC
ALL_REGISTRY_BANNERS	       VIEW		   SYS
ALL_REMOVED_WORKSPACES	       SYNONYM		   PUBLIC
ALL_REMOVED_WORKSPACES	       VIEW		   WMSYS
ALL_REPAUDIT_ATTRIBUTE	       VIEW		   SYS
ALL_REPAUDIT_ATTRIBUTE	       SYNONYM		   PUBLIC
ALL_REPAUDIT_COLUMN	       VIEW		   SYS
ALL_REPAUDIT_COLUMN	       SYNONYM		   PUBLIC
ALL_REPCAT		       VIEW		   SYS
ALL_REPCAT		       SYNONYM		   PUBLIC
ALL_REPCATLOG		       VIEW		   SYS
ALL_REPCATLOG		       SYNONYM		   PUBLIC
ALL_REPCAT_REFRESH_TEMPLATES   VIEW		   SYS
ALL_REPCAT_REFRESH_TEMPLATES   SYNONYM		   PUBLIC
ALL_REPCAT_TEMPLATE_OBJECTS    SYNONYM		   PUBLIC
ALL_REPCAT_TEMPLATE_OBJECTS    VIEW		   SYS
ALL_REPCAT_TEMPLATE_PARMS      SYNONYM		   PUBLIC
ALL_REPCAT_TEMPLATE_PARMS      VIEW		   SYS
ALL_REPCAT_TEMPLATE_SITES      VIEW		   SYS
ALL_REPCAT_TEMPLATE_SITES      SYNONYM		   PUBLIC
ALL_REPCAT_USER_AUTHORIZATIONS VIEW		   SYS
ALL_REPCAT_USER_AUTHORIZATIONS SYNONYM		   PUBLIC
ALL_REPCAT_USER_PARM_VALUES    SYNONYM		   PUBLIC
ALL_REPCAT_USER_PARM_VALUES    VIEW		   SYS
ALL_REPCOLUMN		       VIEW		   SYS
ALL_REPCOLUMN		       SYNONYM		   PUBLIC
ALL_REPCOLUMN_GROUP	       SYNONYM		   PUBLIC
ALL_REPCOLUMN_GROUP	       VIEW		   SYS
ALL_REPCONFLICT 	       SYNONYM		   PUBLIC
ALL_REPCONFLICT 	       VIEW		   SYS
ALL_REPDDL		       SYNONYM		   PUBLIC
ALL_REPDDL		       VIEW		   SYS
ALL_REPFLAVORS		       SYNONYM		   PUBLIC
ALL_REPFLAVORS		       VIEW		   SYS
ALL_REPFLAVOR_COLUMNS	       VIEW		   SYS
ALL_REPFLAVOR_COLUMNS	       SYNONYM		   PUBLIC
ALL_REPFLAVOR_OBJECTS	       SYNONYM		   PUBLIC
ALL_REPFLAVOR_OBJECTS	       VIEW		   SYS
ALL_REPGENERATED	       VIEW		   SYS
ALL_REPGENERATED	       SYNONYM		   PUBLIC
ALL_REPGENOBJECTS	       SYNONYM		   PUBLIC
ALL_REPGENOBJECTS	       VIEW		   SYS
ALL_REPGROUP		       SYNONYM		   PUBLIC
ALL_REPGROUP		       VIEW		   SYS
ALL_REPGROUPED_COLUMN	       SYNONYM		   PUBLIC
ALL_REPGROUPED_COLUMN	       VIEW		   SYS
ALL_REPGROUP_PRIVILEGES        VIEW		   SYS
ALL_REPGROUP_PRIVILEGES        SYNONYM		   PUBLIC
ALL_REPKEY_COLUMNS	       VIEW		   SYS
ALL_REPKEY_COLUMNS	       SYNONYM		   PUBLIC
ALL_REPOBJECT		       VIEW		   SYS
ALL_REPOBJECT		       SYNONYM		   PUBLIC
ALL_REPPARAMETER_COLUMN        VIEW		   SYS
ALL_REPPARAMETER_COLUMN        SYNONYM		   PUBLIC
ALL_REPPRIORITY 	       SYNONYM		   PUBLIC
ALL_REPPRIORITY 	       VIEW		   SYS
ALL_REPPRIORITY_GROUP	       SYNONYM		   PUBLIC
ALL_REPPRIORITY_GROUP	       VIEW		   SYS
ALL_REPPROP		       VIEW		   SYS
ALL_REPPROP		       SYNONYM		   PUBLIC
ALL_REPRESOLUTION	       SYNONYM		   PUBLIC
ALL_REPRESOLUTION	       VIEW		   SYS
ALL_REPRESOLUTION_METHOD       VIEW		   SYS
